"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-08-14 05:00:00",,,,,,,,,87,,,,,,,,,90
"2020-08-17 05:00:00",,,79,,,,,,,82,,,91,,,86,,,,,84,83,,,77,82
"2020-08-18 05:00:00",,,,,,,,89,,,83
"2020-08-19 05:00:00",,,,,,,,,,,,,,,,,69
"2020-08-21 05:00:00",,,,,,,,,80
"2020-08-24 05:00:00",,80,,,,,,,,,,,,,,,,,,,,,75
"2020-08-25 05:00:00",,,,,,,,,,,84,,,,,,,,89,,,,,74,77
"2020-08-27 05:00:00",,,,,,,63
"2020-08-28 05:00:00",,,,,,,,,,,,,,,,,,90
"2020-08-30 05:00:00",48
"2020-08-31 05:00:00",,,81,,,,,87,,82,,,89,,,86,68,,,,83,77,,,,78
"2020-09-01 05:00:00",,80,,,,,,,,,82,,,,,,,,,,,,,,79
"2020-09-02 05:00:00",,,,,,81
"2020-09-04 05:00:00",,,,,,,,,,,,,,,,,,,87
"2020-09-06 05:00:00",,,,,21
"2020-09-08 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,71,75
"2020-09-09 05:00:00",,,,,,,,,,,85
"2020-09-10 05:00:00",,,,,,80,64,,,,,,,,,,,,89
"2020-09-11 05:00:00",,,,,,,,,,,,,,,,,,87,,8
"2020-09-13 05:00:00",,,,34
"2020-09-14 05:00:00",,,79,,,,,,,86,,,88,,16,87,,,,,85,76,,,77,75
"2020-09-15 05:00:00",,,,,,,,87
"2020-09-16 05:00:00",,,,,,,,,,,85,,,,,,,,,,,,,76
"2020-09-18 05:00:00",,,,,,,,,80,,,,,,,,,,88
"2020-09-20 05:00:00",,,,,22
"2020-09-21 05:00:00",,,,,,,,,,,,,,,,,,,,,,,,,76
"2020-09-22 05:00:00",,,,,,83
"2020-09-23 05:00:00",,,,37,,,,,,,,,,,,,,,89,7
"2020-09-24 05:00:00",,,,,,,62,,83
"2020-09-25 05:00:00",,,,,,,,,,,,,,,,,,89
"2020-09-27 05:00:00",,,,,,,,,,,,,,,18
"2020-09-28 05:00:00",,,81,,,,,90,,85,,,90,,,87,,,,,85,78,,,78,75
"2020-09-29 05:00:00",,,,,,,,,,,88,,,,,,,,,,,,,76
"2020-09-30 05:00:00",,,,,,77,,,,,,,,,,,66,,89,,,,76
"2020-10-02 05:00:00",,,,,,,,,80
"2020-10-06 05:00:00",,,,,,,,,,,88,,,,,,,,,,,,,,77
"2020-10-07 05:00:00",,,,,,,,,,,,,,,,,71,,,,,,78,76
"2020-10-08 05:00:00",,,,,,,64
"2020-10-09 05:00:00",,,,,,,,,,,,,,,,,,88,,9
"2020-10-11 05:00:00",,,,,,,,,77,,,,,,24
"2020-10-12 05:00:00",,,82,40,46,,,88,,84,,,92,,,88,,,,,82,81,,,79,79
"2020-10-13 05:00:00",,,,,,,,,,,88
"2020-10-14 05:00:00",,,,,,,,,,,,,,,,,69,,,,,,77
"2020-10-15 05:00:00",,,,,,81
"2020-10-16 05:00:00",,,,,,,,,,,,,,,,,,,89
"2020-10-19 05:00:00",,,,,,,,,79,,,,,,,,,,,,,,,,76
"2020-10-20 05:00:00",,,,,,,,,,,84
"2020-10-22 05:00:00",,,,,,84,64,,,,,,,,,,,,,,,,,74
"2020-10-23 05:00:00",,,,,,,,,79,,,,,,,,,92
"2020-10-26 05:00:00",,,,,,,,,,86,,,91,,,84,,,,,,82,,,78,79
"2020-10-27 05:00:00",,,,,,,,89,,,89,,,,,,,,,,86
"2020-10-28 05:00:00",,,,,,82
"2020-10-30 05:00:00",,84
"2020-10-31 05:00:00",,,,,,,,,83
"2020-11-02 06:00:00",,,,,,,,,,,,,,,,,71,,,,,,76,,80
"2020-11-03 06:00:00",,,,,56,,,,,,88,,,,,,,,,9
"2020-11-04 06:00:00",,,,,,83,72,,,,,,,,,,,,87
"2020-11-05 06:00:00",,,,72
"2020-11-06 06:00:00",,,,,,,,,79,,,,,,,,,91
"2020-11-09 06:00:00",,,,,,,,89,,85,,,91,,40,85,72,,,,82,82,,,81,77
"2020-11-10 06:00:00",,,,,,,,,,,87
"2020-11-11 06:00:00",,,,,,,,,,,,,,,,,,,,,,,76
"2020-11-12 06:00:00",,,,,56
"2020-11-13 06:00:00",,,,,,,,,79
"2020-11-16 06:00:00",,,,,,,,,,,,,,,,,,,90,,,,,,83
"2020-11-17 06:00:00",,,,,,,,,,,86,,,,,,71
"2020-11-18 06:00:00",,,,73,,84,,,,,,,,,,,,,,,,,,75
"2020-11-19 06:00:00",,,,,,,69
"2020-11-20 06:00:00",,,,,,,,,82,,,,,,,,,91,,15
"2020-11-22 06:00:00",,,,,,,,,,,,,,,47
"2020-11-23 06:00:00",,,,,,,,,,83,,,90,,,85,,,87,,,86,,,,80
"2020-11-24 06:00:00",,,,,,,,88,,,,,,,,,,,,,84
"2020-11-25 06:00:00",,,,,,82,,,,,,,,,,,,,,,,,,,81
"2020-11-26 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,74
"2020-11-27 06:00:00",,86,,,65
"2020-11-29 06:00:00",,,,,,,,,79
"2020-11-30 06:00:00",,,,,,,,,,,,,,,,,75,,,,,,78
"2020-12-01 06:00:00",,,,,,,,,,,84
"2020-12-02 06:00:00",,,,69,,81,,,,,,,,,,,,,85,16,,,,,80
"2020-12-04 06:00:00",,,,,,,73,,,,,,,,,,,87,,,,,,76
"2020-12-05 06:00:00",,,,,,,,,82
"2020-12-07 06:00:00",,,,,,,,89,,84,,,89,,48,88,,,,,83,83,,,,83
"2020-12-09 06:00:00",,,,,,81,,,,,84
"2020-12-11 06:00:00",,,,,,,,,,,,,,,,,,,85
"2020-12-14 06:00:00",,,,,,,,,82,,88,,,,,,,,,,,,,,79
"2020-12-15 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,77
"2020-12-16 06:00:00",,,,,,83,,,,,,,,,,,69,,,,,,79
"2020-12-17 06:00:00",,,,,,,74
"2020-12-18 06:00:00",,,,,,,,,75,,,,,,,,,91,87
"2020-12-21 06:00:00",,,,,,,,88,,86,,,88,,,86,,,,,87,84,,,,78
"2020-12-22 06:00:00",,,,,,,,,,,83,,,,,,,,,,,,,,79
"2020-12-23 06:00:00",,,,,,,,,,,,,,,,,68,,85,,,,75
"2020-12-27 06:00:00",,,,,,,,,79
"2020-12-29 06:00:00",,,,,,,,,,,,,,,,,,,,,,,77
"2020-12-31 06:00:00",,,,,,,72
"2021-01-03 06:00:00",,,,,,,,,79
"2021-01-04 06:00:00",,,,,,,,,,80,,,90,,,87,,91,,,87,85,,,,79
"2021-01-05 06:00:00",,,,,,,,80,,,87,,,,,,,,,,,,78,70
"2021-01-06 06:00:00",,,,,,79
"2021-01-07 06:00:00",,,,,,,,,,,,,,,,,,,87
"2021-01-08 06:00:00",,,,,,,,,80
"2021-01-10 06:00:00",,,,,,,,,,,,,,,,,66
"2021-01-11 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,,77
"2021-01-12 06:00:00",,,,,,,,,,,86
"2021-01-13 06:00:00",,,,65,,,,,,,,,,,,,,,89,,,,74
"2021-01-15 06:00:00",,,,,,,,,76,,,,,,,,,90,,29
"2021-01-17 06:00:00",,,,,,,,,,,,,,,62
"2021-01-18 06:00:00",,,,,75,,72,85,,85,,,91,,,84,,,,,78,87,,,,78
"2021-01-19 06:00:00",,,,,,,,,,,87,,,,,,,,,,,,,76
"2021-01-20 06:00:00",,,,,,81,,,,,,,,,,,,,90,,,,,,80
"2021-01-22 06:00:00",,,,,,,,,80
"2021-01-26 06:00:00",,,,,,,,,,,80,,,,,,,,,,,,,,79
"2021-01-27 06:00:00",,84,,,,73
"2021-01-28 06:00:00",,,,,,,75
"2021-01-29 06:00:00",,,,,,,,,,,,,,,,,,88,88,,,,,74
"2021-01-30 06:00:00",,,,,,,,,78
"2021-01-31 06:00:00",,,,,76
"2021-02-01 06:00:00",,,,,,,,81,,81,,,90,,59,84,67,,,32,81,86,73,,,81
"2021-02-02 06:00:00",,,,,,,,,,,87
"2021-02-03 06:00:00",,,,,,81,,,,,,,,,,,,,,,,,,,80
"2021-02-05 06:00:00",,,,,,,,,,,,,,,,,,,87
"2021-02-08 06:00:00",,,,,,,,,78,,,,,,,,71
"2021-02-09 06:00:00",,,,,,,,,,,84,,,,,,,,,,,,,,80
"2021-02-11 06:00:00",,,,,,,74,,,,,,,,,,,,,32,,,,77
"2021-02-12 06:00:00",,,,,,84,,,,,,,,,,,,87
"2021-02-14 06:00:00",,,,65,75,,,,,,,,,,59,,,,,,,,74
"2021-02-15 06:00:00",,,,,,,,,78,81,,,89,,,83,,,,,,,,,,79
"2021-02-16 06:00:00",,,,,,75,,81,,,83,,,,,,,,,,79,83
"2021-02-17 06:00:00",,,,,,,,,,,,,,,,,,,87,,,,,,78
"2021-02-21 06:00:00",,,,,,,,,,,,,,,,,76
"2021-02-22 06:00:00",,,,,,,,,,,,,,,,,,,,,,,,74
"2021-02-23 06:00:00",,,,,,79,,,,,,,,,,,,,,,,,,,74
"2021-02-25 06:00:00",,,,,,,,,78,,82
"2021-02-26 06:00:00",,,,,77,,71,,,,,,,,,,,86,,35
"2021-02-28 06:00:00",,85,,65,,,,,,,,,,,66
"2021-03-01 06:00:00",,,,,,,,,,81,,,91,,,82,,,,,,83,,,77,72
"2021-03-02 06:00:00",,,,,,,,87,,,83,,,,,,,,,,87
"2021-03-03 06:00:00",,,,,,,,,,,,,,,,,,,86
